メラ,美拉,メラ系咒文伤害，最高307
ホ-リ-エッジ,神圣刃,デイン＆イオ系耐性低的敌人伤害1.1倍
ホ-リ-ラッシュ,神圣猛击,デイン＆イオ系耐性低的敌人伤害1.2倍
ダ-クスパイク,暗黑扣杀,ドルマ＆ベタン系耐性低的敌人伤害1.1倍
ダ-クマッシャ-,暗黑粉碎,ドルマ＆ベタン系耐性低的敌人伤害1.2倍
メタル斬り,金属斩,金属史莱姆系怪物伤害+1
ドラゴン斬り,屠龙斩,ドラゴン系怪物伤害1.35倍
スライム斬り,史莱姆斩,スライム系怪物伤害1.35倍
しぜん斬り,自然斩,しぜん系怪物伤害1.35倍
まじゅう斬り,魔兽斩,まじゅう系怪物伤害1.35倍
ぶっしつ斬り,物质斩,ぶっしつ系怪物伤害1.35倍
あくま斬り,恶魔斩,あくま系怪物伤害1.35倍
ゾンビ斬り,僵尸斩,ゾンビ系怪物伤害1.35倍
聖魔斬,圣魔斩,？？？系怪物伤害1.35倍
ゴ-ルドアタック,储金攻击,一定几率获得钱
ぬすっと斬り,偷窃斩,一定几率获得道具，伤害为通常的1/10
どく攻撃,毒攻击,一定几率中毒
もうどく斬り,猛毒斩,一定几率中猛毒
マヒ攻撃,麻痹攻击,一定几率麻痹
ねむり攻撃,睡眠攻击,一定几率睡眠
メダパニ斬り,混乱斩,一定几率混乱
マヌ-サ斬り,幻惑斩,一定几率斩击命中率下降
ハ-トブレイク,敲心锤,一定几率停止行动一回合
だつりょく斬り,脱力斩,一定几率攻击力下降到3/4
かぶとわり,裂盔斩,一定几率防御力下降到3/4
ボミエアタック,降速攻击,一定几率速度下降到3/4
フ-ルシュ-ト,愚笨攻击,一定几率智慧下降到3/4
ブレスクラッシュ,吐息破坏,一定几率吐息封印
ブレイクダンス,舞蹈破坏,一定几率舞蹈封印
アサシンアタック,暗杀攻击,一定几率即死
ミラクルソ-ド,奇迹之剑,伤害1.1倍，自己HP恢复伤害值的1/2
もろば斬り,双刃斩,伤害2倍，自己承受1/2伤害
すてみ,舍身,先制，伤害1.5倍，最高200，被伤害为2倍
しっぷうづき,疾风突,先制，伤害4/5
みなごろし,屠杀,敌我随机一员会心一击
魔神斬り,魔神斩,50%命中率的会心一击
さみだれ斬り,五月雨斩,伤害递减
ばくれつけん,爆烈拳,4次攻击，每击伤害50%，对象无法指定
いわなげ,投石,岩爆伤害，最高100
じひびき,地动,岩爆大伤害，最高230
がんせきおとし,落石,岩爆特大伤害，最高714
水しぶき,喷水,冰伤害，最高125
てっぽう水,水炮,冰大伤害，最高253
つなみ,海啸,冰特大伤害，最高714
ほうでん,放电,电伤害，最高160
いなずま,闪电,电大伤害，最高276
ジゴスパ-ク,地狱雷霆,电特大伤害，最高714
発火,起火,火伤害，最高113
おにび,鬼火,火大伤害，最高322
火炎竜,火龙,火特大伤害，最高714
かまいたち,镰铀,暗风伤害，最高107
しんくうは,真空波,暗风大伤害，最高241
トルネ-ド,龙卷风,暗风特大伤害，最高714
ビッグバン,大爆炸,暗电最大级伤害，最高798
ギガスラッシュ,强力斩,爆炸系特大伤害，LV上升效果提升，最高2000
ギガブレイク,强力破碎,爆炸系特大伤害，LV上升效果提升，最高2000
特攻,自杀,敌单体和使用者HP为1
たいあたり,身体冲撞,敌单体和使用者的HP降低3/4
みかわしきゃく,轻快脚步,斩击回避率上升
すなけむり,沙尘暴,斩击命中率下降
まぶしい光,炫目光,斩击命中率下降
ぶきみな光,诡异光线,咒文伤害增加
光のはどう,光之波动,全异常状态回复
やみのはどう,暗之波动,所有能力（除HP、MP）下降到3/4
いてつくはどう,冻结波动,全附加状态消除，含负面状态
なめまわし,来回舔,停止行动一回合+防御力降为1
おたけび,吼叫,停止行动一回合
ぎゃくふう,逆风,将受到的吐息吹还给敌人，自己不受影响
まもりのきり,防御之雾,抵消伤害一次
せいれいのうた,精灵之歌,下回合我方全员1/2几率复活
アモ-ルの雨,阿莫鲁雨,下回合我方全体HP回复，最高1000
めいそう,冥想,HP400左右回复，最高2000
会心ふうじ,会心封印,无法发出会心一击
みがわり,替身,代替所有同伴抵挡任何攻击
くろいきり,黑雾,敌我全体咒文效果消失+无法使用咒文，同时打消蓄气
踊りふうじ,舞蹈封印,封印舞蹈系特技
くちをふさぐ,堵嘴巴,封印吐息系特技
斬撃ふうじ,斩击封印,封印斩击类特技
体技ふうじ,体技封印,封印体技
作戦ふうじ,战术封印,无法改变AI作战，无法下达指令
ラウンドゼロ,回合结束,直接结束该回合，每战只能使用一次
火の息,火之气息,火焰吐息伤害，最高74
火炎の息,火炎气息,火焰吐息大伤害，最高142
はげしい炎,剧烈火炎,火焰吐息特大伤害，最高288
しゃくねつ,灼热火炎,火焰吐息最大伤害，最高626
つめたい息,冷冻气息,吹雪吐息伤害，最高77
こおりの息,冰之气息,吹雪吐息大伤害，最高158
こごえる吹雪,暴风雪,吹雪吐息特大伤害，最高319
かがやく息,闪亮气息,吹雪吐息最大伤害，最高629
あまい息,香甜气息,一定几率催眠
やけつく息,灼热气息,一定几率麻痹
どくの息,毒之气息,一定几率中毒
もうどくの息,猛毒气息,一定几率中猛毒
まどいの息,幻想气息,一定几率混乱
息をすいこむ,气息吸收,下回合火焰吹雪吐息伤害2~2.5倍
全てをすいこむ,全部吸收,吸收所有吐息并还给敌人，自己会受影响
メガザルダンス,牺牲之舞,自己死亡，其它同伴HP100%复活
ハッスルダンス,精神之舞,HP70~320回复
ふしぎな踊り,神奇之舞,MP降低，最高100
マホトラ踊り,吸魔之舞,吸收MP给自己，最高100
メダパニダンス,混乱之舞,一定几率混乱
さそう踊り,引诱之舞,一定几率停止行动一回合
死の踊り,死之舞,一定几率即死
じごくの踊り,地狱之舞,随机一员巨大伤害，最高2000
